Monitor log by clive at bedroom - hockey,Uptime
2022.05.23-18.09.52,AficioSG3110DN
2022.05.23-18.09.58,AficioSG3110DN
2022.05.23-18.10.03,AficioSG3110DN
2022.05.23-18.10.08,AficioSG3110DN
