Monitor log by clivet at Office - printer,Uptime
2022.05.24-17.08.11,3 days` 0:18:49.260000
2022.05.24-17.08.17,3 days` 0:18:54.460000
2022.05.24-17.08.22,3 days` 0:18:59.590000
