Monitor log by clivet at Office - printer,Uptime,Description
2022.06.13-23.08.45,23 days` 6:19:22.760000,RICOH AficioSG3110DN 2.8.0 / RICOH Network Printer C model
2022.06.13-23.08.49,23 days` 6:19:26.980000,RICOH AficioSG3110DN 2.8.0 / RICOH Network Printer C model
2022.06.13-23.08.53,23 days` 6:19:31.270000,RICOH AficioSG3110DN 2.8.0 / RICOH Network Printer C model
2022.06.13-23.08.58,23 days` 6:19:35.560000,RICOH AficioSG3110DN 2.8.0 / RICOH Network Printer C model
2022.06.13-23.09.02,23 days` 6:19:39.780000,RICOH AficioSG3110DN 2.8.0 / RICOH Network Printer C model
