Monitor log by clivet at Office - printer,Uptime
2022.05.24-21.03.17,3 days` 4:13:55.650000
2022.05.24-21.03.22,3 days` 4:14:00.850000
2022.05.24-21.03.28,3 days` 4:14:06.030000
