Monitor log by clivet at bedroom - hockey,Uptime
2022.05.24-21.43.50,AficioSG3110DN
2022.05.24-21.43.50,AficioSG3110DN
2022.05.24-21.43.56,AficioSG3110DN
2022.05.24-21.43.56,AficioSG3110DN
2022.05.24-21.44.01,AficioSG3110DN
2022.05.24-21.44.01,AficioSG3110DN
2022.05.24-21.44.06,AficioSG3110DN
2022.05.24-21.44.07,AficioSG3110DN
