Monitor log by clivet at bedroom - hockey,Uptime
2022.05.24-21.13.11,AficioSG3110DN
2022.05.24-21.13.16,AficioSG3110DN
2022.05.24-21.13.26,AficioSG3110DN
2022.05.24-21.13.31,AficioSG3110DN
