Monitor log by clivet at Office - printer,Uptime
2022.05.24-21.13.11,3 days` 4:23:49.090000
2022.05.24-21.13.16,3 days` 4:23:54.350000
2022.05.24-21.13.26,3 days` 4:24:04.210000
2022.05.24-21.13.31,3 days` 4:24:09.430000
