Monitor log by clive at bedroom - hockey,Uptime
2022.05.23-17.06.59,AficioSG3110DN
2022.05.23-17.07.14,AficioSG3110DN
2022.05.23-17.07.29,AficioSG3110DN
2022.05.23-17.07.45,AficioSG3110DN
2022.05.23-17.08.00,AficioSG3110DN
