Monitor log by clive at bedroom - hockey,Uptime
2022.05.23-17.09.00,AficioSG3110DN
2022.05.23-17.09.16,AficioSG3110DN
2022.05.23-17.09.31,AficioSG3110DN
2022.05.23-17.09.46,AficioSG3110DN
2022.05.23-17.10.01,AficioSG3110DN
2022.05.23-17.10.16,AficioSG3110DN
2022.05.23-17.10.57,AficioSG3110DN
2022.05.23-17.11.39,AficioSG3110DN
