Monitor log by clivet at Office - printer,Uptime
2022.05.24-19.57.01,3 days` 3:07:38.450000
2022.05.24-19.57.06,3 days` 3:07:43.850000
2022.05.24-19.57.11,3 days` 3:07:49.190000
