Monitor log by clivet at bedroom - hockey,Uptime
2022.05.24-20.14.17,AficioSG3110DN
2022.05.24-20.14.24,AficioSG3110DN
2022.05.24-20.14.30,AficioSG3110DN
2022.05.24-20.14.36,AficioSG3110DN
2022.05.24-20.14.43,AficioSG3110DN
2022.05.24-20.14.49,AficioSG3110DN
2022.05.24-20.14.55,AficioSG3110DN
