Monitor log by clivet at bedroom - hockey,Uptime
2022.05.24-21.10.59,AficioSG3110DN
2022.05.24-21.11.04,AficioSG3110DN
2022.05.24-21.11.09,AficioSG3110DN
2022.05.24-21.11.15,AficioSG3110DN
2022.05.24-21.11.20,AficioSG3110DN
2022.05.24-21.11.26,AficioSG3110DN
2022.05.24-21.11.31,AficioSG3110DN
