Monitor log by clivet at Office - printer,Uptime
2022.05.24-19.53.22,3 days` 3:03:59.420000
2022.05.24-19.53.27,3 days` 3:04:04.590000
2022.05.24-19.53.32,3 days` 3:04:09.820000
