Monitor log by clivet at Office - printer,Uptime
2022.05.24-20.25.47,3 days` 3:36:24.520000
2022.05.24-20.25.52,3 days` 3:36:29.860000
2022.05.24-20.25.58,3 days` 3:36:35.330000
