Moxa Monitor log by clive at WS - Battery monitor,Cell 1,Cell 2,Cell 3,String Voltage
2022.04.07-09.53.19,3.171,3.160,3.164,9.495
2022.04.07-09.53.49,3.171,3.160,3.164,9.495
2022.04.07-09.54.19,3.171,3.160,3.164,9.495
2022.04.07-09.54.50,3.171,3.160,3.164,9.495
2022.04.07-09.55.20,3.171,3.160,3.164,9.495
2022.04.07-09.55.51,3.171,3.160,3.164,9.495
