Monitor log by clivet at bedroom - hockey,Uptime
2022.05.24-19.59.37,AficioSG3110DN
2022.05.24-19.59.42,AficioSG3110DN
2022.05.24-19.59.47,AficioSG3110DN
2022.05.24-19.59.53,AficioSG3110DN
2022.05.24-19.59.58,AficioSG3110DN
2022.05.24-20.00.03,AficioSG3110DN
