Monitor log by clivet at bedroom - hockey,Uptime
2022.05.24-21.17.41,AficioSG3110DN
2022.05.24-21.17.41,AficioSG3110DN
2022.05.24-21.17.50,AficioSG3110DN
2022.05.24-21.17.50,AficioSG3110DN
2022.05.24-21.17.58,AficioSG3110DN
2022.05.24-21.17.58,AficioSG3110DN
2022.05.24-21.18.07,AficioSG3110DN
2022.05.24-21.18.07,AficioSG3110DN
