Monitor log by clivet at Office - printer,Uptime,Description
2022.06.11-21.01.15,21 days` 4:11:53.410000,RICOH AficioSG3110DN 2.8.0 / RICOH Network Printer C model
2022.06.11-21.01.46,21 days` 4:12:24.120000,RICOH AficioSG3110DN 2.8.0 / RICOH Network Printer C model
2022.06.11-21.02.16,21 days` 4:12:54.180000,RICOH AficioSG3110DN 2.8.0 / RICOH Network Printer C model
